Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Saleh, Mohamed; Fadel, Sherif; Abbott, Lynn; ",Using ears as a biometric for human recognition,"Arab Academy for Science and Technology and Maritime Transport, Cairo, Egypt",,,,2006,
"Fahmy, Sherif F; Ravindran, Binoy; Jensen, E Douglas; ",Response time analysis of software transactional memory-based distributed real-time systems,Proceedings of the 2009 ACM symposium on Applied Computing,,,334-338,2009,
"Fahmy, Sherif F; Ravindran, Binoy; Jensen, E Douglas; ",On bounding response times under software transactional memory in distributed multiprocessor real-time systems,"2009 Design, Automation & Test in Europe Conference & Exhibition",,,688-693,2009,IEEE
"Fahmy, Sherif F; Ravindran, Binoy; Jensen, E Douglas; ",Scheduling distributable real-time threads in the presence of crash failures and message losses,Proceedings of the 2008 ACM symposium on Applied computing,,,294-301,2008,
"Fahmy, Sherif F; Ravindran, Binoy; Jensen, E Douglas; ",Fast scheduling of distributable real-time threads with assured end-to-end timeliness,International Conference on Reliable Software Technologies,,,211-225,2008,"Springer Berlin Heidelberg Berlin, Heidelberg"
"Fahmy, Sherif; Ravindran, Binoy; Jensen, E Douglas; ","On collaborative scheduling of distributable real-time threads in dynamic, Networked Embedded Systems",2008 11th IEEE International Symposium on Object and Component-Oriented Real-Time Distributed Computing (ISORC),,,485-491,2008,IEEE
"Fahmy, Sherif F; Ravindran, Binoy; Jensen, E Douglas; ",On scalable synchronization for distributed embedded real-time systems,IFIP International Workshop on Software Technolgies for Embedded and Ubiquitous Systems,,,394-405,2008,"Springer Berlin Heidelberg Berlin, Heidelberg"
"Fahmy, Sherif Fadel; ",Collaborative Scheduling and Synchronization of Distributable Real-Time Threads,,,,,2010,Virginia Tech
"Fahmy, Sherif; Ravindran, Binoy; ",On STM concurrency control for multicore embedded real-time software,"2011 International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation",,,1-8,2011,IEEE
"Fahmy, Sherif; Ravindran, Binoy; Jensen, E Douglas; ",Scheduling dependent distributable real-time threads in dynamic networked embedded systems,IFIP Working Conference on Distributed and Parallel Embedded Systems,,,171-180,2008,"Springer US Boston, MA"
"Fahmy, Sherif F; ",Scalable Synchronization and Scheduling of Distributable Real-Time Threads,,,,,2008,Virginia Polytechnic Institute and State University
"Fahmy, Sherif; Ravindran, Binoy; Han, Kai; Jensen, ED; ",Randomized Real-Time Gossip: Scheduling Distributable Threads in Ad Hoc Networks Under Unknown Number of Thread Hops,,,,,,
"Fahmy, Sherif; Ravindran, Binoy; Han, Kai; Jensen, ED; ",Randomized Real-Time Gossip: Scheduling Distributable Real-Time Threads in Ad Hoc Networks Under Unknown Thread Hops,,,,,,
"Fahmy, Sherif F; Ravindran, Binoy; ",On real-time transactional contention management on deadline-scheduled multicore systems,,,,,,
"Fahmy, Sherif F; Ravindran, Binoy; Jensen, E Douglas; ",Implementing distributable real-time threads in the Linux kernel: programming interface and scheduling support,Proceedings of the 27th Annual ACM Symposium on Applied Computing,,,1771-1778,2012,
"Fahmy, Sherif F; Ravindran, Binoy; Jensen, ED; ",Response time analysis of software transactional memory-based multiprocessor distributed real-time systems,,,,,,
"Athanasios, François SN; Fahmy, Sherif F; Selim, Gamal I; ",MCSAuth: A New Authentication Mechanism for Cloud Systems,International Journal of Computer Applications,975,,8887,,
"Hashad, Rania A; Ishak, Rania AH; Fahmy, Sherif; Mansour, Samar; Geneidi, Ahmed S; ",Chitosan-tripolyphosphate nanoparticles: Optimization of formulation parameters for improving process yield at a novel pH using artificial neural networks,International journal of biological macromolecules,86,,50-58,2016,Elsevier
"Aziem, Nada M Abdel; Fahmy, Sherif F; Hashad, Attallah I; ",Aggregating Local Metrics for Global Trust Calculations in the TOR Network,ICCTA,,,,2014,
"Samir, Sameh; Fahmy, Sherif F.; Selim, Gamal; ",Lossless Image Compression Using Agglomerative Hierarchical Clustering and the Jensen-Shannon  Divergence,ICCTA,,,,2015,
"Fahmy, A.; Fahmy, S. F.; AlAmir, M.; ",Improving Tor Performance using Tor Optimizer with reference to Client Experience,AEIC,,,,2014,
"Fahmy, Sherif F.; Azim, Mostafa Abd El; ",A Generic Algorithm for Converting Flow Charts into Program Code: CASE tool for teaching computer programming,SITE,,,,2003,
"Fahmy, Sherif F.; Al, Et; ",A Novel Hybrid Moving Object Detection Algorithm for Video Surveillance Applications,ICICIS,,,,2005,
"Fahmy, Sherif F.; Fahmy, Ahmed; ","The Design and Implementation of An E-Management System for the Arab Academy for Science and Technology and Maritime Transport, and the Effect of this System on Faculty Performance",IIEC_2,,,,2003,
"Fahmy, Sherif F.; Sensousy, Zakaria; Amin, Ahmed F.; ",Providing QoS in Contention Management for Software Transactional Memory,ICENCO,,,,2017,
"Eid, Salwa; Youssef, Alia; Fahmy, Sherif; ",DNA Microarray: Analysis of Gene Expression with regard to Gene Signatures,iCBBE,,,,2012,
"Senousy, Zakarial; Fahmy, Sherif F.; Amin, Ahmed F.; ",Throughput and Wasted Work in Contention Management for Software Transactional Memory,ICaTAS,,,,2018,
"Fahmy, Sherif F; ",Blockchain and its uses,Arab Academy for Science and Technology and Maritime Transport,,,,2018,Sheraton
"Harby, Ahmed A; Fahmy, Sherif F; Amin, Ahmed F; ",More accurate estimation of working set size in virtual machines,IEEE Access,7,,94039-94047,2019,IEEE
"AbdelAzim, Nada M; Fahmy, Sherif F; Sobh, Mohammed Ali; Eldin, Ayman M Bahaa; ",A hybrid entropy-based DoS attacks detection system for software defined networks (SDN): A proposed trust mechanism,Egyptian Informatics Journal,22,1,85-90,2021,Elsevier
"Fahmy, Sherif Fadel; ",The Use of Gait as a Biometric for Person Identification from Surveillance Videos,,,,,2005,The Arab Academy for Science
"Fahmy, Hesham Ahmed; Fahmy, Sherif Fadel; García, Alberto A Del Barrio; Juan, Guillermo Botella; ",Emotion detection in infants using an ensemble classifier with a novel member selection technique,Proceedings of the 2020 Summer Simulation Conference,,,1-9,2020,
"Helal, Mohammed Ezzat; Helal, Manal Ezzat; Fahmy, Sherif Fadel; ",Spinal Muscle Atrophy Disease Modelling as Bayesian Network,Journal of Physics: Conference Series,2128,1,012015,2021,IOP Publishing
"Fahmy, Hesham Ahmed; Fahmy, Sherif Fadel; García, Alberto A Del Barrio; Juan, Guillermo Botella; ",An ensemble multi-stream classifier for infant needs detection,Heliyon,9,4,,2023,Elsevier
"Yehia, Asmaa; Fahmy, Sherif; Fahmy, Ahmed; ",Generative Adversarial Networks as weight generators in ensemble classification,AIRC,,,,2023,
"Kamal, Tamer; Helmy, Emadeldin; Fahmy, Sherif; Abd EL-Azeem, Mohamed H; ",Detecting and preventing for performance assessment of IoT devices under dodag information solicitation (dis) attacks,2023 40th National Radio Science Conference (NRSC),1,,110-120,2023,IEEE
"Abd El-Aziz, AA; Elmogy, Mohammed; Abd El-Ghany, Sameh; ",Egyptian Informatics Journal,network,6,,7,2020,
"Fahmy, Sherif F; Fahmy, Shereen F; Fakhr, Mohamed W; ",Technical vs Fundamental Analysis for Egyptian Stock Market Prediction using a Unified Ensemble Regressor,"2024 6th International Youth Conference on Radio Electronics, Electrical and Power Engineering (REEPE)",,,1-9,2024,IEEE
"Moataz Ahmed, Manal Helal, Sherif Fadel Fahmy, Abdel Moneim Wahdan; ",Arabic Music Genre Identification,Journal of Advanced Research in Applied Sciences and Engineering Technology,46,,187–200,2024,
"Bastawisy, Ahmed O.; Fahmy, Sherif F.; Elazeem, Mohamed H. Abd; Fahmy, Shereen F.; ",A Novel Technique for Segmenting Data for Training an Ensemble Regressor,Journal of Advanced Research In Applied Sciences and Engineering Technology,55,2,1-13,2024,SEMARAK ILMU
"Fahmy, Sherif F; Selim, Gamal I; ",MCSAuth: A New Authentication Mechanism for Cloud Systems,International Journal of Computer Applications,88,15,,2014,Foundation of Computer Science
